Iite,Isim,Iloss,Ipara,Irun,p2,p3,p4,p5,Igrid
15,29,0.42547591,68.0248968  0.1375     0.340625  32.7727722,365,68.0248968,0.1375,0.340625,32.7727722,125.0-095.0
10,23,0.58335309,69.4791667  0.2375     0.3996472 14.5733602,239,69.4791667,0.2375,0.3996472,14.5733602,127.0-095.0
10,25,0.75609611,69.586779   0.071875   0.2697771 13.0071629,241,69.586779,0.071875,0.2697771,13.0071629,129.0-089.0
15,31,0.68760264,66.1397741  0.0492883  0.3914145  8.162704 ,367,66.1397741,0.0492883,0.3914145,8.162704,129.0-091.0
14,26,0.67229053,66.377933   0.0666883  0.3800475 17.4579567,338,66.377933,0.0666883,0.3800475,17.4579567,129.0-093.0
5,15,0.21247754,52.9156074  0.221875   0.3118845 24.7916667,111,52.9156074,0.221875,0.3118845,24.7916667,129.0-095.0
12,26,0.72705623,69.9793122  0.0005635  0.3701454  5.0263687,290,69.9793122,0.0005635,0.3701454,5.0263687,131.0-063.0
16,11,1.1587919,69.9296828  0.0006022  0.1019628 19.6877534,371,69.9296828,0.0006022,0.1019628,19.6877534,131.0-065.0
11,11,0.58644585,59.5833333  0.059375   0.196875  31.71875  ,251,59.5833333,0.059375,0.196875,31.71875,131.0-089.0
5,6,0.78757016,65.5319597  0.053125   0.1421774 17.8645833,102,65.5319597,0.053125,0.1421774,17.8645833,131.0-091.0
16,3,0.68592319,67.3232332  0.000097   0.3964916  9.112139 ,363,67.3232332,9.7e-05,0.3964916,9.112139,133.0-065.0
11,18,0.73123119,69.3666955  0.0019052  0.3709811  8.2271944,258,69.3666955,0.0019052,0.3709811,8.2271944,133.0-067.0
14,17,0.34478111,59.6174539  0.1823601  0.346875  83.510546 ,329,59.6174539,0.1823601,0.346875,83.510546,133.0-089.0
16,7,0.75459965,67.4900556  0.000039   0.376157   8.3332203,367,67.4900556,3.9e-05,0.376157,8.3332203,135.0-067.0
7,31,0.17754548,58.0208333  0.196875   0.3999504 55.46875  ,175,58.0208333,0.196875,0.3999504,55.46875,135.0-087.0
13,6,0.65820951,57.5580117  0.05       0.378125  19.3865229,294,57.5580117,0.05,0.378125,19.3865229,135.0-089.0
12,1,1.1619061,63.3221001  0.0588827  0.1124224 16.7429134,265,63.3221001,0.0588827,0.1124224,16.7429134,137.0-067.0
14,21,0.6220345,65.8059589  0.0067463  0.3248816 32.2639052,333,65.8059589,0.0067463,0.3248816,32.2639052,137.0-087.0
13,14,1.0054608,53.9339364  0.0005098  0.3867518 53.6131768,302,53.9339364,0.0005098,0.3867518,53.6131768,139.0-067.0
16,2,0.75595658,68.6974409  0.0017797  0.2904536  7.7043042,362,68.6974409,0.0017797,0.2904536,7.7043042,139.0-069.0
13,11,0.67878494,67.0416171  0.0001998  0.1019016  5.0963969,299,67.0416171,0.0001998,0.1019016,5.0963969,139.0-071.0
12,6,0.83627204,66.6156625  0.0002044  0.3994666 94.7344241,270,66.6156625,0.0002044,0.3994666,94.7344241,139.0-087.0
16,10,0.48537514,69.8285135  0.0119623  0.3666892  5.0045503,370,69.8285135,0.0119623,0.3666892,5.0045503,141.0-071.0
6,6,0.50934907,66.276064   0.0256673  0.343483   6.8694708,126,66.276064,0.0256673,0.343483,6.8694708,141.0-073.0
12,15,0.75283637,65.811563   0.0069761  0.3901937  6.0595813,279,65.811563,0.0069761,0.3901937,6.0595813,141.0-075.0
16,15,1.0140603,69.0750901  0.0004255  0.399685  11.8620471,375,69.0750901,0.0004255,0.399685,11.8620471,141.0-077.0
12,27,0.89655403,63.604553   0.0024931  0.3979289 85.2334069,291,63.604553,0.0024931,0.3979289,85.2334069,141.0-085.0
14,28,1.1318821,64.8170119  0.0030523  0.2763884 45.7575458,340,64.8170119,0.0030523,0.2763884,45.7575458,141.0-087.0
13,3,0.89241354,66.9906131  0.0078855  0.2691905  8.3051663,291,66.9906131,0.0078855,0.2691905,8.3051663,143.0-077.0
10,31,1.1058933,62.2248795  0.0010518  0.1541846 22.5148139,247,62.2248795,0.0010518,0.1541846,22.5148139,143.0-079.0
15,1,3.1044878,66.585233   0.0000722  0.2479971 82.790964 ,337,66.585233,7.22e-05,0.2479971,82.790964,143.0-081.0
9,13,0.59157341,59.2673171  0.0011466  0.3472245 93.7794197,205,59.2673171,0.0011466,0.3472245,93.7794197,143.0-085.0
9,30,0.64985453,67.8771357  0.0203754  0.2719884  5.2739063,222,67.8771357,0.0203754,0.2719884,5.2739063,145.0-081.0
14,11,0.59361098,61.5085079  0.0057692  0.3937144  6.3869095,323,61.5085079,0.0057692,0.3937144,6.3869095,145.0-083.0
12,15,1.2256927,63.984046   0.0011889  0.3344085 96.9294878,279,63.984046,0.0011889,0.3344085,96.9294878,145.0-085.0
10,7,0.3264644,68.319489   0.0010576  0.3884703 55.8147324,223,68.319489,0.0010576,0.3884703,55.8147324,163.0-101.0
7,18,0.15026005,30.6892473  0.002355   0.3971325 94.1226032,162,30.6892473,0.002355,0.3971325,94.1226032,163.0-103.0
15,3,0.20019841,65.1996277  0.0017773  0.3587165 97.8203726,339,65.1996277,0.0017773,0.3587165,97.8203726,163.0-105.0
16,7,0.32080037,59.7404818  0.00625    0.3995165 86.3970044,367,59.7404818,0.00625,0.3995165,86.3970044,163.0-107.0
16,7,0.17405229,69.099613   0.0002602  0.3917163 99.6740674,367,69.099613,0.0002602,0.3917163,99.6740674,163.0-109.0
15,30,0.2171174,56.24494    0.15       0.346875  99.8464649,366,56.24494,0.15,0.346875,99.8464649,165.0-101.0
15,6,0.10911002,57.421623   0.0523897  0.3809824 97.781244 ,342,57.421623,0.0523897,0.3809824,97.781244,165.0-103.0
13,2,0.29667748,69.6488983  0.171875   0.3347592 45.9418698,290,69.6488983,0.171875,0.3347592,45.9418698,167.0-097.0
15,15,0.027756992,38.5737527  0.1124009  0.3109338 69.8179861,351,38.5737527,0.1124009,0.3109338,69.8179861,167.0-099.0
13,8,0.084860412,58.2632222  0.121875   0.2418278 93.126754 ,296,58.2632222,0.121875,0.2418278,93.126754,167.0-101.0
5,1,0.093056419,69.9552632  0.1127241  0.3810246 44.7152493,97,69.9552632,0.1127241,0.3810246,44.7152493,169.0-095.0
14,31,0.39481789,43.9330934  0.2074113  0.2196551 30.1348275,343,43.9330934,0.2074113,0.2196551,30.1348275,169.0-097.0
15,14,0.30664622,61.1458333  0.20625    0.33125   65.3645833,350,61.1458333,0.20625,0.33125,65.3645833,171.0-095.0
11,23,0.066151489,69.7658964  0.165625   0.2813071 94.5370295,263,69.7658964,0.165625,0.2813071,94.5370295,173.0-095.0
7,16,0.1174361,52.8125     0.084375   0.3497962 77.5069626,160,52.8125,0.084375,0.3497962,77.5069626,175.0-095.0
7,13,0.094807651,65.9141951  0.121875   0.3375    43.8788899,157,65.9141951,0.121875,0.3375,43.8788899,177.0-095.0
15,11,0.05708057,64.9798787  0.077592   0.3397327 97.0472893,347,64.9798787,0.077592,0.3397327,97.0472893,179.0-095.0
16,19,0.064117762,48.4094735  0.0375355  0.28245   13.10851  ,379,48.4094735,0.0375355,0.28245,13.10851,181.0-095.0
15,10,0.063505914,41.7020396  0.0572305  0.3996959 12.5525342,346,41.7020396,0.0572305,0.3996959,12.5525342,181.0-097.0
14,31,0.049554871,45.2528164  0.1507057  0.2198068 71.7465326,343,45.2528164,0.1507057,0.2198068,71.7465326,183.0-097.0
